product_code,product_name,txn_date,txn_nep_month,txn_nep_date,account_id,amount,channel,theater,user_type,last_txn_before_bhadra,first_active_after_bhadra,active_difference,churn_or_not,day_of_week
NP-ES-QBOX,iNi Cinemas - Butwal,2025-08-24,Bhadra,8,18742,810.0,WEB,iNi Cinemas - Butwal,Old User,08/08/2025,24/08/2025,16.0,Not Churn,Sunday
NP-ES-MOVIES-RB,Regal Cinemas ( Butwal),2025-10-14,Ashoj,28,18742,820.0,GPRS,Regal Cinemas ( Butwal),Old User,08/08/2025,24/08/2025,16.0,Not Churn,Tuesday
QFX_labim,QFX Labim,2025-08-26,Bhadra,10,47466,1560.0,WEB,QFX Labim,Old User,01/08/2025,26/08/2025,25.0,Not Churn,Tuesday
NP-ES-MOVIES-CIVIL,QFX Civil,2025-10-05,Ashoj,19,47466,1040.0,GPRS,QFX Civil,Old User,01/08/2025,26/08/2025,25.0,Not Churn,Sunday
NP-ES-MOVIES-RBHR,Regal Cinemas Pvt. Ltd.,2025-09-28,Ashoj,12,61310,1320.0,GPRS,Regal Cinemas Pvt. Ltd.,Old User,15/08/2025,19/08/2025,4.0,Not Churn,Sunday
bigmovies,Bigmovies,2025-09-06,Bhadra,21,61310,800.0,WEB,Bigmovies,Old User,15/08/2025,19/08/2025,4.0,Not Churn,Saturday
ES-1911060096,Regal Cinemas Pvt. Ltd. ( Bhaktapur),2025-08-22,Bhadra,6,80398,1320.0,WEB,Regal Cinemas Pvt. Ltd. ( Bhaktapur),Old User,09/08/2025,18/08/2025,9.0,Not Churn,Friday
NP-ES-MOVIES-RBHR,Regal Cinemas Pvt. Ltd.,2025-10-05,Ashoj,19,80398,1560.0,GPRS,Regal Cinemas Pvt. Ltd.,Old User,09/08/2025,18/08/2025,9.0,Not Churn,Sunday
NP-ES-MOVIES-RBHR,Regal Cinemas Pvt. Ltd.,2025-09-24,Ashoj,8,92885,250.0,GPRS,Regal Cinemas Pvt. Ltd.,Old User,16/08/2025,18/08/2025,2.0,Not Churn,Wednesday
ES-1911060096,Regal Cinemas Pvt. Ltd. ( Bhaktapur),2025-08-26,Bhadra,10,92885,350.0,WEB,Regal Cinemas Pvt. Ltd. ( Bhaktapur),Old User,16/08/2025,18/08/2025,2.0,Not Churn,Tuesday
ES-1911060096,Regal Cinemas Pvt. Ltd. ( Bhaktapur),2025-08-18,Bhadra,2,92885,430.0,WEB,Regal Cinemas Pvt. Ltd. ( Bhaktapur),Old User,16/08/2025,18/08/2025,2.0,Not Churn,Monday
ES-1911060096,Regal Cinemas Pvt. Ltd. ( Bhaktapur),2025-09-04,Bhadra,19,92885,250.0,WEB,Regal Cinemas Pvt. Ltd. ( Bhaktapur),Old User,16/08/2025,18/08/2025,2.0,Not Churn,Thursday
QFX_labim,QFX Labim,2025-08-30,Bhadra,14,92885,240.0,WEB,QFX Labim,Old User,16/08/2025,18/08/2025,2.0,Not Churn,Saturday
QFX_civil,QFX Civil,2025-09-06,Bhadra,21,103550,1040.0,WEB,QFX Civil,Old User,16/08/2025,23/08/2025,7.0,Not Churn,Saturday
NP-ES-MOVIES-CIVIL,QFX Civil,2025-09-28,Ashoj,12,103550,440.0,GPRS,QFX Civil,Old User,16/08/2025,23/08/2025,7.0,Not Churn,Sunday
NP-ES-MOVIES-CIVIL,QFX Civil,2025-10-04,Ashoj,18,109710,1280.0,GPRS,QFX Civil,Old User,04/08/2025,19/08/2025,15.0,Not Churn,Saturday
QFX_labim,QFX Labim,2025-08-28,Bhadra,12,109710,2880.0,WEB,QFX Labim,Old User,04/08/2025,19/08/2025,15.0,Not Churn,Thursday
QFX_labim,QFX Labim,2025-08-21,Bhadra,5,109710,940.0,WEB,QFX Labim,Old User,04/08/2025,19/08/2025,15.0,Not Churn,Thursday
QFX_labim,QFX Labim,2025-08-19,Bhadra,3,118278,7200.0,WEB,QFX Labim,Deleted User,28/07/2025,19/08/2025,22.0,Not Churn,Tuesday
NP-ES-MOVIES-LABIM,Qfx Labim,2025-10-13,Ashoj,27,118278,940.0,GPRS,Qfx Labim,Deleted User,28/07/2025,19/08/2025,22.0,Not Churn,Monday
NP-ES-MOVIES-CIVIL,QFX Civil,2025-10-07,Ashoj,21,139523,1650.0,GPRS,QFX Civil,Old User,24/07/2025,03/09/2025,41.0,1 Months Churn,Tuesday
NP-ES-QSCINEMA,Q's Cinema_QFX,2025-09-03,Bhadra,18,139523,1200.0,WEB,Q's Cinema_QFX,Old User,24/07/2025,03/09/2025,41.0,1 Months Churn,Wednesday
NP-ES-MOVIES-LABIM,Qfx Labim,2025-10-11,Ashoj,25,143769,1680.0,GPRS,Qfx Labim,Old User,13/08/2025,17/08/2025,4.0,Not Churn,Saturday
eSewa_QFXChhaya,QFX Chhaya Centre,2025-10-04,Ashoj,18,143769,1120.0,WEB,QFX Chhaya Centre,Old User,13/08/2025,17/08/2025,4.0,Not Churn,Saturday
NP-ES-QSCINEMA,Q's Cinema_QFX,2025-09-16,Bhadra,31,143769,1010.0,WEB,Q's Cinema_QFX,Old User,13/08/2025,17/08/2025,4.0,Not Churn,Tuesday
NP-ES-MOVIES-QFXBIRGUNJ,Skyline moives (QFX Birgunj ),2025-10-09,Ashoj,23,164777,330.0,GPRS,Skyline moives (QFX Birgunj ),Old User,12/08/2025,18/08/2025,6.0,Not Churn,Thursday
NP-ES-QFXBIRGUNJ,Skyline moives (QFX Birgunj ),2025-08-18,Bhadra,2,164777,250.0,WEB,Skyline moives (QFX Birgunj ),Old User,12/08/2025,18/08/2025,6.0,Not Churn,Monday
FCUBECINEMAS,FCube Cinemas,2025-10-11,Ashoj,25,173711,480.0,WEB,FCube Cinemas,Deleted User,16/08/2025,17/08/2025,1.0,Not Churn,Saturday
NP-ES-MOVIES-CIVIL,QFX Civil,2025-10-08,Ashoj,22,173711,660.0,GPRS,QFX Civil,Deleted User,16/08/2025,17/08/2025,1.0,Not Churn,Wednesday
FCUBECINEMAS,FCube Cinemas,2025-09-04,Bhadra,19,173711,1160.0,WEB,FCube Cinemas,Deleted User,16/08/2025,17/08/2025,1.0,Not Churn,Thursday
NP-ES-MOVIES-LABIM,Qfx Labim,2025-10-03,Ashoj,17,174157,1120.0,GPRS,Qfx Labim,Old User,02/08/2025,17/08/2025,15.0,Not Churn,Friday
QFX_labim,QFX Labim,2025-08-17,Bhadra,1,174157,1120.0,WEB,QFX Labim,Old User,02/08/2025,17/08/2025,15.0,Not Churn,Sunday
NP-ES-MOVIES-RB,Regal Cinemas ( Butwal),2025-10-11,Ashoj,25,183447,2640.0,GPRS,Regal Cinemas ( Butwal),Deleted User,16/08/2025,17/08/2025,1.0,Not Churn,Saturday
NP-ES-QBOX,iNi Cinemas - Butwal,2025-10-04,Ashoj,18,183447,135.0,WEB,iNi Cinemas - Butwal,Deleted User,16/08/2025,17/08/2025,1.0,Not Churn,Saturday
ES-1911290038,Regal Cinemas Pvt. Ltd.. ( Butwal),2025-08-25,Bhadra,9,183447,400.0,WEB,Regal Cinemas Pvt. Ltd.. ( Butwal),Deleted User,16/08/2025,17/08/2025,1.0,Not Churn,Monday
NP-ES-MOVIES-RB,Regal Cinemas ( Butwal),2025-10-01,Ashoj,15,183447,1320.0,GPRS,Regal Cinemas ( Butwal),Deleted User,16/08/2025,17/08/2025,1.0,Not Churn,Wednesday
NP-ES-MOVIES-RB,Regal Cinemas ( Butwal),2025-10-05,Ashoj,19,200039,660.0,GPRS,Regal Cinemas ( Butwal),Deleted User,15/08/2025,18/08/2025,3.0,Not Churn,Sunday
ES-1911290038,Regal Cinemas Pvt. Ltd.. ( Butwal),2025-08-19,Bhadra,3,200039,400.0,WEB,Regal Cinemas Pvt. Ltd.. ( Butwal),Deleted User,15/08/2025,18/08/2025,3.0,Not Churn,Tuesday
NP-ES-SCREEN,iNi Cinemas - NB Center,2025-10-11,Ashoj,25,201424,1800.0,WEB,iNi Cinemas - NB Center,Old User,21/04/2025,05/09/2025,137.0,5 Months Churn,Saturday
ES-1911060096,Regal Cinemas Pvt. Ltd. ( Bhaktapur),2025-09-05,Bhadra,20,201424,1760.0,WEB,Regal Cinemas Pvt. Ltd. ( Bhaktapur),Old User,21/04/2025,05/09/2025,137.0,5 Months Churn,Friday
NP-ES-MOVIES-CIVIL,QFX Civil,2025-10-06,Ashoj,20,201424,1400.0,GPRS,QFX Civil,Old User,21/04/2025,05/09/2025,137.0,5 Months Churn,Monday
NP-ES-MOVIES-LABIM,Qfx Labim,2025-09-30,Ashoj,14,201424,1920.0,GPRS,Qfx Labim,Old User,21/04/2025,05/09/2025,137.0,5 Months Churn,Tuesday
NP-ES-ELEMENTS,Elements Movies (QFX),2025-08-23,Bhadra,7,201782,820.0,WEB,Elements Movies (QFX),Old User,15/08/2025,19/08/2025,4.0,Not Churn,Saturday
NP-ES-ELEMENTS,Elements Movies (QFX),2025-09-22,Ashoj,6,201782,820.0,WEB,Elements Movies (QFX),Old User,15/08/2025,19/08/2025,4.0,Not Churn,Monday
NP-ES-MOVIES-CINEM,Q's Cinemas,2025-10-02,Ashoj,16,201782,2730.0,GPRS,Q's Cinemas,Old User,15/08/2025,19/08/2025,4.0,Not Churn,Thursday
NP-ES-MOVIES-LABIM,Qfx Labim,2025-10-05,Ashoj,19,221932,960.0,GPRS,Qfx Labim,Old User,15/08/2025,19/08/2025,4.0,Not Churn,Sunday
NP-ES-MOVIES-RBHR,Regal Cinemas Pvt. Ltd.,2025-10-03,Ashoj,17,221932,2080.0,GPRS,Regal Cinemas Pvt. Ltd.,Old User,15/08/2025,19/08/2025,4.0,Not Churn,Friday
ES-1911060096,Regal Cinemas Pvt. Ltd. ( Bhaktapur),2025-08-30,Bhadra,14,221932,880.0,WEB,Regal Cinemas Pvt. Ltd. ( Bhaktapur),Old User,15/08/2025,19/08/2025,4.0,Not Churn,Saturday
ES-1911060096,Regal Cinemas Pvt. Ltd. ( Bhaktapur),2025-09-01,Bhadra,16,221932,700.0,WEB,Regal Cinemas Pvt. Ltd. ( Bhaktapur),Old User,15/08/2025,19/08/2025,4.0,Not Churn,Monday
ES-1912120466,Regal Cinemas (Biratnagar),2025-08-20,Bhadra,4,225165,450.0,WEB,Regal Cinemas (Biratnagar),Old User,16/08/2025,17/08/2025,1.0,Not Churn,Wednesday
NP-ES-MOVIES-QFXPKR,QFX Cinemas,2025-10-09,Ashoj,23,225165,700.0,GPRS,QFX Cinemas,Old User,16/08/2025,17/08/2025,1.0,Not Churn,Thursday
NP-ES-QFXDURBAR,QFX Durbar Cinemax,2025-10-10,Ashoj,24,225165,2800.0,WEB,QFX Durbar Cinemax,Old User,16/08/2025,17/08/2025,1.0,Not Churn,Friday
ES-1911290038,Regal Cinemas Pvt. Ltd.. ( Butwal),2025-09-05,Bhadra,20,230766,330.0,WEB,Regal Cinemas Pvt. Ltd.. ( Butwal),Deleted User,16/08/2025,18/08/2025,2.0,Not Churn,Friday
NP-ES-MOVIES-RB,Regal Cinemas ( Butwal),2025-10-13,Ashoj,27,230766,660.0,GPRS,Regal Cinemas ( Butwal),Deleted User,16/08/2025,18/08/2025,2.0,Not Churn,Monday
ES-1911290038,Regal Cinemas Pvt. Ltd.. ( Butwal),2025-09-08,Bhadra,23,230766,660.0,WEB,Regal Cinemas Pvt. Ltd.. ( Butwal),Deleted User,16/08/2025,18/08/2025,2.0,Not Churn,Monday
NP-ES-MOVIES-QFXPKR,QFX Cinemas,2025-10-11,Ashoj,25,252021,780.0,GPRS,QFX Cinemas,Old User,01/08/2025,27/08/2025,26.0,Not Churn,Saturday
NP-ES-MOVIES-QFXPKR,QFX Cinemas,2025-10-08,Ashoj,22,252021,800.0,GPRS,QFX Cinemas,Old User,01/08/2025,27/08/2025,26.0,Not Churn,Wednesday
NP-ES-OASISCINE,Oasis Cine Pvt. Ltd,2025-08-27,Bhadra,11,252021,175.0,WEB,Oasis Cine Pvt. Ltd,Old User,01/08/2025,27/08/2025,26.0,Not Churn,Wednesday
QFX_labim,QFX Labim,2025-08-21,Bhadra,5,259516,780.0,WEB,QFX Labim,Old User,15/08/2025,20/08/2025,5.0,Not Churn,Thursday
NP-ES-MOVIES-CINEM,Q's Cinemas,2025-09-30,Ashoj,14,259516,1560.0,GPRS,Q's Cinemas,Old User,15/08/2025,20/08/2025,5.0,Not Churn,Tuesday
